State,Abb,Utility Gas,"Bottled, tank, or LP gas",Electricity,"Fuel oil, kerosene, etc",Coal or coke,Wood,Solar engery,Other fuel,No fuel used,NA
new mexico,nm,0.519666,0.083137,0.110934,0.001513,0.000924,0.076729,0.002458,0.00748,0.001471,0.195689
new york,ny,0.437147,0.035912,0.075324,0.236198,0.003588,0.027404,0.000222,0.007998,0.004659,0.171547
north carolina,nc,0.212987,0.084981,0.458994,0.048309,0.00012,0.018528,0.000205,0.001346,0.00285,0.17168
north dakota,nd,0.256303,0.184826,0.289276,0.061266,0.005077,0.008157,0.000114,0.011808,0.005305,0.177867
ohio,oh,0.588572,0.051664,0.168392,0.02702,0.00074,0.018164,0.000181,0.005791,0.00256,0.136918
oklahoma,ok,0.427748,0.087343,0.264263,0.0011,3.30E-05,0.023932,5.50E-05,0.007361,0.001144,0.187021
oregon,or,0.335347,0.017974,0.398495,0.034851,8.90E-05,0.074881,0.000425,0.007002,0.002427,0.128511
pennsylvania,pa,0.384027,0.036666,0.149538,0.193929,0.017365,0.036074,0.000234,0.005509,0.001972,0.174686
rhode island,ri,0.403279,0.01795,0.065415,0.319523,0.000935,0.013356,0.000234,0.003154,0.002258,0.173896
south carolina,sc,0.213245,0.047929,0.52546,0.015821,8.60E-05,0.009977,0.000121,0.000934,0.002818,0.183609
south dakota,sd,0.304063,0.204356,0.22188,0.045032,0.001028,0.016985,0.000343,0.011503,0.004895,0.189917
tennessee,tn,0.308933,0.046977,0.475391,0.005379,0.000438,0.019678,9.30E-05,0.000995,0.002063,0.140055
texas,tx,0.342985,0.040265,0.451023,0.001286,4.90E-05,0.005102,0.000108,0.001591,0.00344,0.15415
utah,ut,0.73389,0.027775,0.085566,0.002783,0.002706,0.017337,0.000329,0.002648,0.00085,0.126116
vermont,vt,0.067802,0.117825,0.023325,0.367768,0.002344,0.155442,0.000343,0.008918,0.001486,0.254745
virginia,va,0.292822,0.04332,0.415102,0.068286,0.000859,0.024533,0.000135,0.002313,0.002292,0.150338
washington,wa,0.315333,0.034209,0.438213,0.028429,9.70E-05,0.04756,0.000253,0.005968,0.002364,0.127575
west virginia,wv,0.38129,0.036503,0.307549,0.031484,0.006721,0.050239,0.000315,0.004705,0.001197,0.179997
wisconsin,wi,0.433402,0.178285,0.086499,0.0455,0.000142,0.078537,0.000276,0.009356,0.00276,0.165242
wyoming,wy,0.508882,0.100592,0.161123,0.002851,0.00636,0.053147,0.000804,0.007164,0.00117,0.157906
district of columbia,dc,0.493928,0.009211,0.253153,0.026401,0.000293,0.000176,0,0.004811,0.006336,0.205691
